filename,type,dev_hours,test_hours,total_hours,description,variation_note
"Add Lat_Long.py","Python",5.0,2.5,7.5,"Geocoding requires handling multiple coordinate systems, API rate limits, input validation and attribute mapping.","Estimates are ballpark; actuals vary by dataset, iterations and environment. Development often required many versions (40–60) and iterations."
"AlignAnchor2Pole.lsp","AutoLISP",4.0,2.0,6.0,"Alignment logic needs robust snapping and handling of edge cases across different drawings and anchor types.","Estimates are ballpark; actuals vary by dataset, iterations and environment. Development often required many versions (40–60) and iterations."
"BLK_MT.lsp","AutoLISP",18.0,5.5,23.5,"Block creation plus MText formatting involves placement rules, attribute parsing and formatting variations across drawings.","Estimates are ballpark; actuals vary by dataset, iterations and environment. Development often required many versions (40–60) and iterations."
"BOM2CSV.lsp","AutoLISP",14.0,5.0,19.0,"BOM extraction requires parsing many entity types, mapping attributes, and ensuring CSV compatibility for different locales.","Estimates are ballpark; actuals vary by dataset, iterations and environment. Development often required many versions (40–60) and iterations."
"BoreLengths.lsp","AutoLISP",4.0,1.5,5.5,"Length calculations must account for different units, polyline types, and small geometry edge cases.","Estimates are ballpark; actuals vary by dataset, iterations and environment. Development often required many versions (40–60) and iterations."
"Buildings to Autocad.py","Python",27.0,9.5,36.5,"Converting building geometry/attributes to DWG involves complex geometry conversions, projections and handling many input variants.","Estimates are ballpark; actuals vary by dataset, iterations and environment. Development often required many versions (40–60) and iterations."
"CD_details_ver1.py","Python",19.0,7.5,26.5,"Detail generation needs template handling, scale/layout logic and PDF/DWG export quirks.","Estimates are ballpark; actuals vary by dataset, iterations and environment. Development often required many versions (40–60) and iterations."
"CSV2MTEXT.lsp","AutoLISP",12.0,4.0,16.0,"CSV parsing plus text positioning/formatting with multi-line and font considerations increases complexity.","Estimates are ballpark; actuals vary by dataset, iterations and environment. Development often required many versions (40–60) and iterations."
"Callouts_Placement_Auto.lsp","AutoLISP",37.0,14.0,51.0,"Multi-sheet callouts require many placement rules, clash avoidance, and iterative tuning for different sheet layouts.","Estimates are ballpark; actuals vary by dataset, iterations and environment. Development often required many versions (40–60) and iterations."
"CleanPrintLayoutsV1.1.lsp","AutoLISP",10.0,3.0,13.0,"Normalizing print layouts across many sheets and templates requires careful rule application and testing.","Estimates are ballpark; actuals vary by dataset, iterations and environment. Development often required many versions (40–60) and iterations."
"CleanPrintLayoutsv1.lsp","AutoLISP",10.0,3.0,13.0,"Same as v1.1; additional variants and backward compatibility add time.","Estimates are ballpark; actuals vary by dataset, iterations and environment. Development often required many versions (40–60) and iterations."
"Cleartext.lsp","AutoLISP",2.0,0.75,2.75,"Simple text cleanup but needs to be safe (avoid removing required text) across drawings.","Estimates are ballpark; actuals vary by dataset, iterations and environment. Development often required many versions (40–60) and iterations."
"Connect_Labels_v2.lsp","AutoLISP",19.0,7.5,26.5,"Leader routing and label attachment has many edge-cases (overlaps, orientations) and required iterations.","Estimates are ballpark; actuals vary by dataset, iterations and environment. Development often required many versions (40–60) and iterations."
"DAP_Toby_Naming_V1.py","Python",19.0,6.5,25.5,"Renaming logic must validate names, avoid collisions and support different naming schemes and exceptions.","Estimates are ballpark; actuals vary by dataset, iterations and environment. Development often required many versions (40–60) and iterations."
"DHATCHLAYER.lsp","AutoLISP",2.0,0.75,2.75,"Hatch and layer handling must detect many hatch types and maintain drawing consistency.","Estimates are ballpark; actuals vary by dataset, iterations and environment. Development often required many versions (40–60) and iterations."
"DIRECTION -ARROW(FlowFromFDH).lsp","AutoLISP",12.0,4.0,16.0,"Arrow placement needs rule-based offsets, orientation and multiple geometry types support.","Estimates are ballpark; actuals vary by dataset, iterations and environment. Development often required many versions (40–60) and iterations."
"DSSCLR.lsp","AutoLISP",1.0,0.75,1.75,"Tiny utility but still needs safe checks and cross-drawing validation.","Estimates are ballpark; actuals vary by dataset, iterations and environment. Development often required many versions (40–60) and iterations."
"DWCLR.lsp","AutoLISP",1.0,0.75,1.75,"Tiny utility; quick development but requires regression checks.","Estimates are ballpark; actuals vary by dataset, iterations and environment. Development often required many versions (40–60) and iterations."
"DW_MTEXT.lsp","AutoLISP",14.0,5.0,19.0,"Complex MText formatting (styles, line breaks, scaling) and placement rules.","Estimates are ballpark; actuals vary by dataset, iterations and environment. Development often required many versions (40–60) and iterations."
"DapCreator 1.zip","Zip/tool",8.0,3.0,11.0,"Packaging small utilities and ensuring the installer/package works across systems adds overhead.","Estimates are ballpark; actuals vary by dataset, iterations and environment. Development often required many versions (40–60) and iterations."
"Delete Fields_QGIS.py","Python",2.5,1.25,3.75,"Must detect dependent fields/relations and ensure safe removal with rollback options for datasets.","Estimates are ballpark; actuals vary by dataset, iterations and environment. Development often required many versions (40–60) and iterations."
"FROM_TO_Tool_V1_FDH_OLT_Wise.py","Python",27.0,13.5,40.5,"Mapping/transformation logic handles many mapping rules and dataset inconsistencies; lots of validation required.","Estimates are ballpark; actuals vary by dataset, iterations and environment. Development often required many versions (40–60) and iterations."
"FTTH Planner Pro 1.zip","Zip/app",50.0,18.0,68.0,"Large multi-component planner requires UI, data-modeling, heavy validation and packaging for distribution.","Estimates are ballpark; actuals vary by dataset, iterations and environment. Development often required many versions (40–60) and iterations."
"FTTH_CSV_Import.lsp","AutoLISP",18.0,4.0,22.0,"CSV import must handle varied CSV schemas, encoding, and robust attribute mapping.","Estimates are ballpark; actuals vary by dataset, iterations and environment. Development often required many versions (40–60) and iterations."
"GP_Convert.lsp","AutoLISP",1.5,0.75,2.25,"Small conversion helper but requires format validation.","Estimates are ballpark; actuals vary by dataset, iterations and environment. Development often required many versions (40–60) and iterations."
"GenerateAndExportCoordinates.lsp","AutoLISP",4.0,1.5,5.5,"Coordinate export needs consistent formatting, projection awareness and error handling.","Estimates are ballpark; actuals vary by dataset, iterations and environment. Development often required many versions (40–60) and iterations."
"Line_Poly.lsp","AutoLISP",1.5,0.75,2.25,"Small helper; edge-case geometry handling adds small dev/test time.","Estimates are ballpark; actuals vary by dataset, iterations and environment. Development often required many versions (40–60) and iterations."
